-9.935221810532913E+07, -1.129154628059938E+08, -1.932305383689702E+04,  2.186471594524899E+01, -1.980944044454448E+01,  7.025280109829168E-04,
-9.935090621543260E+07, -1.129166513645023E+08, -1.932301169142127E+04,  2.186494727174545E+01, -1.980917650453097E+01,  7.023209618139958E-04,
-9.934959431165659E+07, -1.129178399071743E+08, -1.932296955836564E+04,  2.186517859470864E+01, -1.980891256185982E+01,  7.021139158220890E-04,
-9.934828239400131E+07, -1.129190284340097E+08, -1.932292743774503E+04,  2.186540991413855E+01, -1.980864861653115E+01,  7.019068730187428E-04,
-9.934697046246696E+07, -1.129202169450082E+08, -1.932288532954454E+04,  2.186564123003516E+01, -1.980838466854508E+01,  7.016998334039570E-04,
-9.934565851705378E+07, -1.129214054401698E+08, -1.932284323377162E+04,  2.186587254239845E+01, -1.980812071790173E+01,  7.014927969875018E-04,
-9.934434655776194E+07, -1.129225939194943E+08, -1.932280115041882E+04,  2.186610385122841E+01, -1.980785676460120E+01,  7.012857637791470E-04,
-9.934303458459170E+07, -1.129237823829815E+08, -1.932275907948613E+04,  2.186633515652499E+01, -1.980759280864362E+01,  7.010787337806690E-04,
-9.934172259754322E+07, -1.129249708306313E+08, -1.932271702096611E+04,  2.186656645828820E+01, -1.980732885002908E+01,  7.008717070036141E-04,
-9.934041059661677E+07, -1.129261592624435E+08, -1.932267497487366E+04,  2.186679775651800E+01, -1.980706488875772E+01,  7.006646834488706E-04,
-9.933909858181252E+07, -1.129273476784179E+08, -1.932263294120878E+04,  2.186702905121439E+01, -1.980680092482965E+01,  7.004576631306492E-04,
-9.933778655313070E+07, -1.129285360785544E+08, -1.932259091995656E+04,  2.186726034237732E+01, -1.980653695824498E+01,  7.002506460480618E-04,
-9.933647451057151E+07, -1.129297244628528E+08, -1.932254891112447E+04,  2.186749163000681E+01, -1.980627298900383E+01,  7.000436322144310E-04,
-9.933516245413516E+07, -1.129309128313130E+08, -1.932250691471249E+04,  2.186772291410280E+01, -1.980600901710631E+01,  6.998366216297569E-04,
-9.933385038382187E+07, -1.129321011839348E+08, -1.932246493072808E+04,  2.186795419466530E+01, -1.980574504255254E+01,  6.996296143064740E-04,
-9.933253829963186E+07, -1.129332895207181E+08, -1.932242295917124E+04,  2.186818547169427E+01, -1.980548106534263E+01,  6.994226102490231E-04,
-9.933122620156536E+07, -1.129344778416626E+08, -1.932238100001961E+04,  2.186841674518969E+01, -1.980521708547670E+01,  6.992156094636215E-04,
-9.932991408962251E+07, -1.129356661467683E+08, -1.932233905328810E+04,  2.186864801515155E+01, -1.980495310295486E+01,  6.990086119609273E-04,
-9.932860196380360E+07, -1.129368544360349E+08, -1.932229711898416E+04,  2.186887928157984E+01, -1.980468911777723E+01,  6.988016177409406E-04,
-9.932728982410879E+07, -1.129380427094623E+08, -1.932225519710034E+04,  2.186911054447452E+01, -1.980442512994392E+01,  6.985946268160959E-04,
-9.932597767053834E+07, -1.129392309670504E+08, -1.932221328762174E+04,  2.186934180383557E+01, -1.980416113945504E+01,  6.983876391908339E-04,
-9.932466550309241E+07, -1.129404192087990E+08, -1.932217139058560E+04,  2.186957305966298E+01, -1.980389714631072E+01,  6.981806548722602E-04,
-9.932335332177125E+07, -1.129416074347080E+08, -1.932212950595468E+04,  2.186980431195674E+01, -1.980363315051108E+01,  6.979736738674802E-04,
-9.932204112657505E+07, -1.129427956447770E+08, -1.932208763373643E+04,  2.187003556071680E+01, -1.980336915205620E+01,  6.977666961835993E-04,
-9.932072891750403E+07, -1.129439838390062E+08, -1.932204577394575E+04,  2.187026680594316E+01, -1.980310515094623E+01,  6.975597218250584E-04,
-9.931941669455841E+07, -1.129451720173951E+08, -1.932200392656773E+04,  2.187049804763580E+01, -1.980284114718127E+01,  6.973527507998512E-04,
-9.931810445773840E+07, -1.129463601799438E+08, -1.932196209161729E+04,  2.187072928579470E+01, -1.980257714076144E+01,  6.971457831150829E-04,
-9.931679220704418E+07, -1.129475483266519E+08, -1.932192026907951E+04,  2.187096052041983E+01, -1.980231313168684E+01,  6.969388187778591E-04,
-9.931547994247600E+07, -1.129487364575195E+08, -1.932187845896184E+04,  2.187119175151118E+01, -1.980204911995760E+01,  6.967318577952852E-04,
-9.931416766403408E+07, -1.129499245725463E+08, -1.932183666126430E+04,  2.187142297906873E+01, -1.980178510557385E+01,  6.965249001726903E-04,
-9.931285537171860E+07, -1.129511126717321E+08, -1.932179487597197E+04,  2.187165420309245E+01, -1.980152108853567E+01,  6.963179459189561E-04,
-9.931154306552978E+07, -1.129523007550769E+08, -1.932175310309976E+04,  2.187188542358234E+01, -1.980125706884320E+01,  6.961109950367472E-04,
-9.931023074546783E+07, -1.129534888225803E+08, -1.932171134265512E+04,  2.187211664053836E+01, -1.980099304649654E+01,  6.959040475384981E-04,
-9.930891841153297E+07, -1.129546768742424E+08, -1.932166959461570E+04,  2.187234785396050E+01, -1.980072902149582E+01,  6.956971034242088E-04,
-9.930760606372543E+07, -1.129558649100628E+08, -1.932162785900384E+04,  2.187257906384874E+01, -1.980046499384114E+01,  6.954901627054255E-04,
-9.930629370204540E+07, -1.129570529300416E+08, -1.932158613580465E+04,  2.187281027020305E+01, -1.980020096353262E+01,  6.952832253901420E-04,
-9.930498132649307E+07, -1.129582409341784E+08, -1.932154442501068E+04,  2.187304147302343E+01, -1.979993693057038E+01,  6.950762914792463E-04,
-9.930366893706869E+07, -1.129594289224732E+08, -1.932150272664428E+04,  2.187327267230984E+01, -1.979967289495453E+01,  6.948693609825085E-04,
